k,explained_variance_ratio,cumulative_explained_variance
452,9.498112e-05,0.9863746
453,9.429964e-05,0.9864689
454,9.315111e-05,0.9865621
455,9.251568e-05,0.9866546
456,9.211994e-05,0.9867467
457,9.1538794e-05,0.9868383
458,9.0113776e-05,0.9869284
459,8.965891e-05,0.98701805
460,8.899387e-05,0.98710704
461,8.8060406e-05,0.9871951
462,8.784912e-05,0.98728293
463,8.7189816e-05,0.98737013
464,8.658152e-05,0.98745674
465,8.523556e-05,0.987542
466,8.441744e-05,0.9876264
467,8.400546e-05,0.98771036
468,8.347129e-05,0.9877938
469,8.332576e-05,0.98787713
470,8.2548155e-05,0.9879597
471,8.145365e-05,0.98804116
472,8.054977e-05,0.9881217
473,8.001793e-05,0.9882017
474,7.911926e-05,0.9882808
475,7.8629426e-05,0.9883594
476,7.841053e-05,0.98843783
477,7.7503704e-05,0.9885153
478,7.694267e-05,0.98859227
479,7.628636e-05,0.98866856
480,7.6233555e-05,0.9887448
481,7.513932e-05,0.98881996
482,7.458594e-05,0.9888945
483,7.3503805e-05,0.988968
484,7.324975e-05,0.98904127
485,7.274186e-05,0.989114
486,7.1753646e-05,0.98918575
487,7.13615e-05,0.9892571
488,7.11734e-05,0.98932827
489,7.057832e-05,0.98939884
490,7.01182e-05,0.98946893
491,6.9794456e-05,0.9895387
492,6.9406895e-05,0.9896081
493,6.8833455e-05,0.98967695
494,6.7817e-05,0.9897448
495,6.756996e-05,0.9898124
496,6.704078e-05,0.9898794
497,6.608243e-05,0.98994553
498,6.579827e-05,0.99001133
499,6.4867265e-05,0.9900762
500,6.418463e-05,0.9901404
501,6.401899e-05,0.9902044
502,6.336166e-05,0.99026775
503,6.32012e-05,0.99033093
504,6.250238e-05,0.99039346
505,6.199385e-05,0.99045545
506,6.152798e-05,0.99051696
507,6.10794e-05,0.99057806
508,6.0633105e-05,0.9906387
509,6.0213224e-05,0.9906989
510,5.988017e-05,0.9907588
511,5.9448772e-05,0.9908182
512,5.896042e-05,0.99087715
513,5.836085e-05,0.9909355
514,5.7728386e-05,0.99099326
515,5.764643e-05,0.9910509
516,5.724329e-05,0.9911081
517,5.71685e-05,0.9911653
518,5.6877747e-05,0.99122214
519,5.6591085e-05,0.9912787
520,5.618214e-05,0.9913349
521,5.5748074e-05,0.99139065
522,5.5231914e-05,0.9914459
523,5.4691533e-05,0.9915006
524,5.411372e-05,0.99155474
525,5.386407e-05,0.9916086
526,5.3335032e-05,0.99166197
527,5.284533e-05,0.99171484
528,5.250576e-05,0.99176735
529,5.216965e-05,0.9918195
530,5.1534193e-05,0.99187106
531,5.1131e-05,0.9919222
532,5.0841678e-05,0.99197304
533,5.0457955e-05,0.9920235
534,5.0020448e-05,0.99207354
535,4.9812406e-05,0.99212337
536,4.9265833e-05,0.99217266
537,4.8906008e-05,0.9922216
538,4.8702455e-05,0.9922703
539,4.8366055e-05,0.99231863
540,4.8010163e-05,0.9923666
541,4.7588874e-05,0.9924142
542,4.7363978e-05,0.99246156
543,4.7087564e-05,0.99250865
544,4.70295e-05,0.9925557
545,4.6658006e-05,0.99260235
546,4.651375e-05,0.99264884
547,4.5624325e-05,0.99269444
