k,explained_variance_ratio,cumulative_explained_variance
372,0.00020626084,0.97520983
373,0.00020332653,0.97541314
374,0.00020061985,0.9756138
375,0.00019972475,0.9758135
376,0.00019692136,0.97601044
377,0.00019575459,0.9762062
378,0.00019558493,0.97640175
379,0.00019245656,0.9765942
380,0.0001899967,0.9767842
381,0.00018831935,0.9769725
382,0.000186899,0.97715944
383,0.0001857059,0.97734517
384,0.00018390387,0.97752905
385,0.00018243607,0.9777115
386,0.00018155873,0.97789305
387,0.00017918112,0.9780722
388,0.00017747434,0.9782497
389,0.00017396717,0.9784237
390,0.00017168844,0.9785954
391,0.00017101162,0.9787664
392,0.00016785457,0.9789342
393,0.00016700302,0.97910124
394,0.00016545926,0.9792667
395,0.00016390326,0.9794306
396,0.00016146924,0.9795921
397,0.0001608375,0.9797529
398,0.00015983223,0.97991276
399,0.00015899331,0.9800717
400,0.00015736642,0.9802291
401,0.00015576952,0.9803848
402,0.00015415948,0.98053896
403,0.0001534037,0.9806924
404,0.00015080831,0.9808432
405,0.0001494028,0.9809926
406,0.00014811309,0.98114073
407,0.00014604379,0.98128676
408,0.0001440019,0.98143077
409,0.00014284262,0.98157364
410,0.00014208943,0.98171574
411,0.0001402549,0.981856
412,0.00013901156,0.981995
413,0.00013798241,0.982133
414,0.00013711987,0.98227006
415,0.00013464947,0.9824047
416,0.00013321871,0.9825379
417,0.00013126925,0.9826692
418,0.0001306607,0.9827998
419,0.00012953662,0.98292935
420,0.0001282301,0.98305756
421,0.00012714186,0.9831847
422,0.00012500434,0.9833097
423,0.00012389295,0.9834336
424,0.0001226778,0.9835563
425,0.00012175363,0.98367804
426,0.00012086135,0.9837989
427,0.00011953495,0.9839184
428,0.000117728596,0.98403615
429,0.00011718632,0.98415333
430,0.00011612124,0.98426944
431,0.00011553587,0.98438495
432,0.000114647206,0.9844996
433,0.000113963586,0.98461354
434,0.00011321563,0.9847267
435,0.000112665984,0.9848394
436,0.00011095873,0.98495036
437,0.00011081775,0.98506117
438,0.000110194385,0.9851714
439,0.00010904697,0.98528045
440,0.000107892236,0.98538834
441,0.00010622487,0.98549455
442,0.000105309955,0.9855999
443,0.00010365174,0.9857035
444,0.00010330722,0.9858068
